"indice";"palavra"
"1";"a"
"2";"ainda"
"3";"alem"
"4";"ambas"
"5";"ambos"
"6";"antes"
"7";"ao"
"8";"aonde"
"9";"aos"
"10";"apos"
"11";"aquele"
"12";"aqueles"
"13";"as"
"14";"assim"
"15";"com"
"16";"como"
"17";"contra"
"18";"contudo"
"19";"cuja"
"20";"cujas"
"21";"cujo"
"22";"cujos"
"23";"da"
"24";"das"
"25";"de"
"26";"dela"
"27";"dele"
"28";"deles"
"29";"demais"
"30";"depois"
"31";"desde"
"32";"desta"
"33";"deste"
"34";"dispoe"
"35";"dispoem"
"36";"diversa"
"37";"diversas"
"38";"diversos"
"39";"do"
"40";"dos"
"41";"durante"
"42";"e"
"43";"ela"
"44";"elas"
"45";"ele"
"46";"eles"
"47";"em"
"48";"entao"
"49";"entre"
"50";"essa"
"51";"essas"
"52";"esse"
"53";"esses"
"54";"esta"
"55";"estas"
"56";"este"
"57";"estes"
"58";"ha"
"59";"isso"
"60";"isto"
"61";"logo"
"62";"mais"
"63";"mas"
"64";"mediante"
"65";"menos"
"66";"mesma"
"67";"mesmas"
"68";"mesmo"
"69";"mesmos"
"70";"na"
"71";"nas"
"72";"nao"
"73";"nem"
"74";"nesse"
"75";"neste"
"76";"nos"
"77";"o"
"78";"os"
"79";"ou"
"80";"outra"
"81";"outras"
"82";"outro"
"83";"outros"
"84";"pelas"
"85";"pelo"
"86";"pelos"
"87";"perante"
"88";"pois"
"89";"por"
"90";"porque"
"91";"portanto"
"92";"proprio"
"93";"propios"
"94";"quais"
"95";"qual"
"96";"qualquer"
"97";"quando"
"98";"quanto"
"99";"que"
"100";"quem"
"101";"quer"
"102";"se"
"103";"seja"
"104";"sem"
"105";"sendo"
"106";"seu"
"107";"seus"
"108";"sob"
"109";"sobre"
"110";"sua"
"111";"suas"
"112";"tal"
"113";"tambem"
"114";"teu"
"115";"teus"
"116";"toda"
"117";"todas"
"118";"todo"
"119";"todos"
"120";"tua"
"121";"tuas"
"122";"tudo"
"123";"um"
"124";"uma"
"125";"umas"
"126";"uns"
"127";"para"
"128";"não"
"129";"no"
"130";"à"
"131";"muito"
"132";"já"
"133";"eu"
"134";"também"
"135";"só"
"136";"pela"
"137";"até"
"138";"me"
"139";"você"
"140";"num"
"141";"meu"
"142";"às"
"143";"minha"
"144";"numa"
"145";"nós"
"146";"lhe"
"147";"tu"
"148";"te"
"149";"vocês"
"150";"vos"
"151";"lhes"
"152";"meus"
"153";"minhas"
"154";"nosso"
"155";"nossa"
"156";"nossos"
"157";"nossas"
"158";"delas"
"159";"aquela"
"160";"aquelas"
"161";"aquilo"
"162";"estou"
"163";"está"
"164";"estamos"
"165";"estão"
"166";"estive"
"167";"esteve"
"168";"estivemos"
"169";"estiveram"
"170";"estava"
"171";"estávamos"
"172";"estavam"
"173";"estivera"
"174";"estivéramos"
"175";"esteja"
"176";"estejamos"
"177";"estejam"
"178";"estivesse"
"179";"estivéssemos"
"180";"estivessem"
"181";"estiver"
"182";"estivermos"
"183";"estiverem"
"184";"hei"
"185";"há"
"186";"havemos"
"187";"hão"
"188";"houve"
"189";"houvemos"
"190";"houveram"
"191";"houvera"
"192";"houvéramos"
"193";"haja"
"194";"hajamos"
"195";"hajam"
"196";"houvesse"
"197";"houvéssemos"
"198";"houvessem"
"199";"houver"
"200";"houvermos"
"201";"houverem"
"202";"houverei"
"203";"houverá"
"204";"houveremos"
"205";"houverão"
"206";"houveria"
"207";"houveríamos"
"208";"houveriam"
"209";"sou"
"210";"somos"
"211";"são"
"212";"era"
"213";"éramos"
"214";"eram"
"215";"fui"
"216";"foi"
"217";"fomos"
"218";"foram"
"219";"fora"
"220";"fôramos"
"221";"sejamos"
"222";"sejam"
"223";"fosse"
"224";"fôssemos"
"225";"fossem"
"226";"for"
"227";"formos"
"228";"forem"
"229";"serei"
"230";"será"
"231";"seremos"
"232";"serão"
"233";"seria"
"234";"seríamos"
"235";"seriam"
"236";"tenho"
"237";"tem"
"238";"temos"
"239";"tém"
"240";"tinha"
"241";"tínhamos"
"242";"tinham"
"243";"tive"
"244";"teve"
"245";"tivemos"
"246";"tiveram"
"247";"tivera"
"248";"tivéramos"
"249";"tenha"
"250";"tenhamos"
"251";"tenham"
"252";"tivesse"
"253";"tivéssemos"
"254";"tivessem"
"255";"tiver"
"256";"tivermos"
"257";"tiverem"
"258";"terei"
"259";"terá"
"260";"teremos"
"261";"terão"
"262";"teria"
"263";"teríamos"
"264";"teriam"
